species,genus,family,species.relative,genus.relative
Adriana_urticoides,Adriana,Euphorbiaceae,,
Aegialitis_annulata,Aegialitis,Plumbaginaceae,,
Agathis_atropurpurea,Agathis,Araucariaceae,,
Agathis_robusta,Agathis,Araucariaceae,,
Aglaia_sapindina,Aglaia,Meliaceae,,
Alangium_villosum,Alangium,Cornaceae,,
Alectryon_oleifolius,Alectryon,Sapindaceae,,
Aleurites_moluccanus,Aleurites,Euphorbiaceae,,
Allocasuarina_decaisneana,Allocasuarina,Casuarinaceae,,
Allocasuarina_distyla,Allocasuarina,Casuarinaceae,,
Allocasuarina_littoralis,Allocasuarina,Casuarinaceae,,
Allocasuarina_luehmannii,Allocasuarina,Casuarinaceae,,
Allocasuarina_verticillata,Allocasuarina,Casuarinaceae,,
Allosyncarpia_ternata,Allosyncarpia,Myrtaceae,,
Alloxylon_wickhamii,Alloxylon,Proteaceae,,
Alphitonia_excelsa,Alphitonia,Rhamnaceae,,
Alphitonia_petriei,Alphitonia,Rhamnaceae,,
Alphitonia_whitei,Alphitonia,Rhamnaceae,,
Alstonia_scholaris,Alstonia,Apocynaceae,,
Alysicarpus_vaginalis,Alysicarpus,Fabaceae,,
Alyxia_ruscifolia,Alyxia,Apocynaceae,,
Amaranthus_viridis,Amaranthus,Amaranthaceae,,
Ampelocissus_acetosa,Ampelocissus,Vitaceae,,
Amyema_maidenii,Amyema,Loranthaceae,,
Angophora_bakeri,Angophora,Myrtaceae,,
Angophora_costata,Angophora,Myrtaceae,,
Angophora_hispida,Angophora,Myrtaceae,,
Anigozanthos_manglesii,Anigozanthos,Haemodoraceae,,
Anodopetalum_biglandulosum,Anodopetalum,Cunoniaceae,,
Anthocercis_littorea,Anthocercis,Solanaceae,,
Aphananthe_philippinensis,Aphananthe,Cannabaceae,,
Araucaria_bidwillii,Araucaria,Araucariaceae,,
Aristida_calycina,Aristida,Poaceae,,
Aristotelia_australasica,Aristotelia,Elaeocarpaceae,,
Aristotelia_peduncularis,Aristotelia,Elaeocarpaceae,,
Arthrostylis_aphylla,Arthrostylis,Cyperaceae,,
Asplenium_bulbiferum,Asplenium,Aspleniaceae,,
Asplenium_flaccidum,Asplenium,Aspleniaceae,,
Asteromyrtus_symphyocarpa,Asteromyrtus,Myrtaceae,,
Astroloma_epacridis,Astroloma,Ericaceae,,
Astroloma_humifusum,Astroloma,Ericaceae,,
Atherosperma_moschatum,Atherosperma,Atherospermataceae,,
Athertonia_diversifolia,Athertonia,Proteaceae,,
Atriplex_nummularia,Atriplex,Amaranthaceae,,
Atriplex_semibaccata,Atriplex,Amaranthaceae,,
Austrobaileya_scandens,Austrobaileya,Austrobaileyaceae,,
Austrostipa_flavescens,Stipa,Poaceae,,
Austrostipa_mollis,Stipa,Poaceae,,
Austrostipa_nitida,Stipa,Poaceae,,
Avena_barbata,Avena,Poaceae,,
Avicennia_marina,Avicennia,Acanthaceae,,
Baeckea_frutescens,Baeckea,Myrtaceae,,
Banksia_aemula,Banksia,Proteaceae,,
Banksia_armata,Banksia,Proteaceae,,
Banksia_attenuata,Banksia,Proteaceae,,
Banksia_ericifolia,Banksia,Proteaceae,,
Banksia_integrifolia,Banksia,Proteaceae,,
Banksia_leptophylla,Banksia,Proteaceae,,
Banksia_marginata,Banksia,Proteaceae,,
Banksia_menziesii,Banksia,Proteaceae,,
Banksia_nivea,Banksia,Proteaceae,,
Banksia_nobilis,Banksia,Proteaceae,,
Banksia_oblongifolia,Banksia,Proteaceae,,
Banksia_prionotes,Banksia,Proteaceae,,
Banksia_proteoides,Banksia,Proteaceae,,
Banksia_robur,Banksia,Proteaceae,,
Banksia_rufa,Banksia,Proteaceae,,
Banksia_serrata,Banksia,Proteaceae,,
Banksia_sessilis,Banksia,Proteaceae,,
Banksia_sphaerocarpa,Banksia,Proteaceae,,
Banksia_spinulosa,Banksia,Proteaceae,,
Bauhinia_cunninghamii,Bauhinia,Fabaceae,,
Bedfordia_salicina,Bedfordia,Asteraceae,,
Beilschmiedia_recurva,Beilschmiedia,Lauraceae,,
Beilschmiedia_tooram,Beilschmiedia,Lauraceae,,
Bidens_bipinnata,Bidens,Asteraceae,,
Blepharocarya_involucrigera,Blepharocarya,Anacardiaceae,,
Brachychiton_populneus,Brachychiton,Malvaceae,,
Brachyscome_iberidifolia,Brachyscome,Asteraceae,,
Breynia_oblongifolia,Breynia,Phyllanthaceae,,
Briza_maxima,Briza,Poaceae,,
Brombya_platynema,Melicope,Rutaceae,,
Buckinghamia_celsissima,Buckinghamia,Proteaceae,,
Burchardia_umbellata,Burchardia,Colchicaceae,,
Bursaria_spinosa,Bursaria,Pittosporaceae,,
Callicoma_serratifolia,Callicoma,Cunoniaceae,,
Callitris_columellaris,Callitris,Cupressaceae,,
Callitris_preissii,Callitris,Cupressaceae,,
Calopogonium_mucunoides,Calopogonium,Fabaceae,,
Calytrix_tetragona,Calytrix,Myrtaceae,,
Canarium_muelleri,Canarium,Burseraceae,,
Cardwellia_sublimis,Cardwellia,Proteaceae,,
Carissa_spinarum,Carissa,Apocynaceae,,
Carnarvonia_araliifolia,Carnarvonia,Proteaceae,,
Carpentaria_acuminata,Carpentaria,Arecaceae,,
Cassinia_laevis,Cassinia,Asteraceae,,
Castanospermum_australe,Castanospermum,Fabaceae,,
Castanospora_alphandii,Castanospora,Sapindaceae,,
Casuarina_pauper,Casuarina,Casuarinaceae,,
Cathormion_umbellatum,Cathormion,Fabaceae,,
Cenarrhenes_nitida,Cenarrhenes,Proteaceae,,
Cenchrus_ciliaris,Cenchrus,Poaceae,,
Cephalaralia_cephalobotrys,Cephalaralia,Araliaceae,,
Ceratopetalum_apetalum,Ceratopetalum,Cunoniaceae,,
Ceratopetalum_succirubrum,Ceratopetalum,Cunoniaceae,,
Chaerophyllum_eriopodum,Chaerophyllum,Apiaceae,,
Cheilanthes_sieberi,Cheilanthes,Pteridaceae,,
Chenopodium_auricomum,Chenopodium,Amaranthaceae,,
Chenopodium_nutans,Chenopodium,Amaranthaceae,,
Chrysopogon_zizanioides,Chrysopogon,Poaceae,,
Cinnamomum_laubatii,Cinnamomum,Lauraceae,,
Citronella_smythii,Citronella,Cardiopteridaceae,,
Cleistanthus_oblongifolius,Cleistanthus,Phyllanthaceae,,
Clematis_linearifolia,Clematis,Ranunculaceae,,
Coldenia_procumbens,Coldenia,Boraginaceae,,
Conospermum_longifolium,Conospermum,Proteaceae,,
Conostylis_candicans,Conostylis,Haemodoraceae,,
Coprosma_quadrifida,Coprosma,Rubiaceae,,
Cordia_dichotoma,Cordia,Boraginaceae,,
Cordyline_stricta,Cordyline,Asparagaceae,,
Correa_reflexa,Correa,Rutaceae,,
Corymbia_aparrerinja,Corymbia,Myrtaceae,,
Corymbia_bleeseri,Corymbia,Myrtaceae,,
Corymbia_cadophora,Corymbia,Myrtaceae,,
Corymbia_calophylla,Corymbia,Myrtaceae,,
Corymbia_citriodora,Corymbia,Myrtaceae,,
Corymbia_collina,Corymbia,Myrtaceae,,
Corymbia_confertiflora,Corymbia,Myrtaceae,,
Corymbia_deserticola,Corymbia,Myrtaceae,,
Corymbia_dichromophloia,Corymbia,Myrtaceae,,
Corymbia_eremaea,Corymbia,Myrtaceae,,
Corymbia_eximia,Corymbia,Myrtaceae,,
Corymbia_ferruginea,Corymbia,Myrtaceae,,
Corymbia_ficifolia,Corymbia,Myrtaceae,,
Corymbia_flavescens,Corymbia,Myrtaceae,,
Corymbia_foelscheana,Corymbia,Myrtaceae,,
Corymbia_grandifolia,Corymbia,Myrtaceae,,
Corymbia_greeniana,Corymbia,Myrtaceae,,
Corymbia_gummifera,Corymbia,Myrtaceae,,
Corymbia_henryi,Corymbia,Myrtaceae,,
Corymbia_lenziana,Corymbia,Myrtaceae,,
Corymbia_leptoloma,Corymbia,Myrtaceae,,
Corymbia_maculata,Corymbia,Myrtaceae,,
Corymbia_nesophila,Corymbia,Myrtaceae,,
Corymbia_papuana,Corymbia,Myrtaceae,,
Corymbia_polysciada,Corymbia,Myrtaceae,,
Corymbia_porrecta,Corymbia,Myrtaceae,,
Corymbia_ptychocarpa,Corymbia,Myrtaceae,,
Corymbia_terminalis,Corymbia,Myrtaceae,,
Corymbia_trachyphloia,Corymbia,Myrtaceae,,
Corymbia_zygophylla,Corymbia,Myrtaceae,,
Corynotheca_micrantha,Corynotheca,Asphodelaceae,,
Craspedia_aurantia,Craspedia,Asteraceae,,
Crataegus_monogyna,Crataegus,Rosaceae,,
Crotalaria_novae-hollandiae,Crotalaria,Fabaceae,,
Croton_triacros,Croton,Euphorbiaceae,,
Cryptandra_parvifolia,Spyridium,Rhamnaceae,,
Cryptocarya_angulata,Cryptocarya,Lauraceae,,
Cryptocarya_corrugata,Cryptocarya,Lauraceae,,
Cryptocarya_densiflora,Cryptocarya,Lauraceae,,
Cryptocarya_melanocarpa,Cryptocarya,Lauraceae,,
Cryptocarya_putida,Cryptocarya,Lauraceae,,
Cryptocarya_triplinervis,Cryptocarya,Lauraceae,,
Cucumis_argenteus,Cucumis,Cucurbitaceae,,
Cucumis_melo,Cucumis,Cucurbitaceae,,
Cullen_cinereum,Cullen,Fabaceae,,
Cupaniopsis_anacardioides,Cupaniopsis,Sapindaceae,,
Cyathodes_glauca,Cyathodes,Ericaceae,,
Dampiera_purpurea,Dampiera,Goodeniaceae,,
Dampiera_stricta,Dampiera,Goodeniaceae,,
Darlingia_darlingiana,Darlingia,Proteaceae,,
Decalobanthus_peltatus,Merremia,Convolvulaceae,,
Denhamia_cunninghamii,Denhamia,Celastraceae,,
Denhamia_obscura,Denhamia,Celastraceae,,
Dicksonia_antarctica,Dicksonia,Dicksoniaceae,,
Dioscorea_bulbifera,Dioscorea,Dioscoreaceae,,
Dioscorea_hastifolia,Dioscorea,Dioscoreaceae,,
Dioscorea_transversa,Dioscorea,Dioscoreaceae,,
Diospyros_australis,Diospyros,Ebenaceae,,
Diplatia_grandibractea,Diplatia,Loranthaceae,,
Dissocarpus_paradoxus,Dissocarpus,Amaranthaceae,,
Dodonaea_viscosa,Dodonaea,Sapindaceae,,
Doryphora_sassafras,Doryphora,Atherospermataceae,,
Drimys_aromatica,Tasmannia,Winteraceae,,
Drymophila_cyanocarpa,Drymophila,Alstroemeriaceae,,
Dysoxylum_pettigrewianum,Dysoxylum,Meliaceae,,
Ectrosia_leporina,Ectrosia,Poaceae,,
Ehretia_saligna,Ehretia,Boraginaceae,,
Elaeocarpus_angustifolius,Elaeocarpus,Elaeocarpaceae,,
Elaeocarpus_arnhemicus,Elaeocarpus,Elaeocarpaceae,,
Elaeocarpus_elliffii,Elaeocarpus,Elaeocarpaceae,,
Elaeocarpus_eumundi,Elaeocarpus,Elaeocarpaceae,,
Elaeocarpus_ferruginiflorus,Elaeocarpus,Elaeocarpaceae,,
Elaeocarpus_foveolatus,Elaeocarpus,Elaeocarpaceae,,
Elaeocarpus_holopetalus,Elaeocarpus,Elaeocarpaceae,,
Elaeocarpus_largiflorens,Elaeocarpus,Elaeocarpaceae,,
Elaeocarpus_reticulatus,Elaeocarpus,Elaeocarpaceae,,
Elaeocarpus_ruminatus,Elaeocarpus,Elaeocarpaceae,,
Elaeocarpus_sericopetalus,Elaeocarpus,Elaeocarpaceae,,
Empodisma_minus,Empodisma,Restionaceae,,
Enchylaena_tomentosa,Enchylaena,Amaranthaceae,,
Endiandra_montana,Endiandra,Lauraceae,,
Entada_phaseoloides,Entada,Fabaceae,,
Epaltes_australis,Epaltes,Asteraceae,,
Eragrostis_curvula,Eragrostis,Poaceae,,
Eriachne_helmsii,Eriachne,Poaceae,,
Eriachne_triseta,Eriachne,Poaceae,,
Eriostemon_australasius,Eriostemon,Rutaceae,,
Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,,
Eucalyptus_abdita,Eucalyptus,Myrtaceae,,
Eucalyptus_absita,Eucalyptus,Myrtaceae,,
Eucalyptus_accedens,Eucalyptus,Myrtaceae,,
Eucalyptus_acies,Eucalyptus,Myrtaceae,,
Eucalyptus_aequioperta,Eucalyptus,Myrtaceae,,
Eucalyptus_aggregata,Eucalyptus,Myrtaceae,,
Eucalyptus_alba,Eucalyptus,Myrtaceae,,
Eucalyptus_albopurpurea,Eucalyptus,Myrtaceae,,
Eucalyptus_alipes,Eucalyptus,Myrtaceae,,
Eucalyptus_ancophila,Eucalyptus,Myrtaceae,,
Eucalyptus_angulosa,Eucalyptus,Myrtaceae,,
Eucalyptus_angustissima,Eucalyptus,Myrtaceae,,
Eucalyptus_annulata,Eucalyptus,Myrtaceae,,
Eucalyptus_aquilina,Eucalyptus,Myrtaceae,,
Eucalyptus_arenacea,Eucalyptus,Myrtaceae,,
Eucalyptus_argophloia,Eucalyptus,Myrtaceae,,
Eucalyptus_argutifolia,Eucalyptus,Myrtaceae,,
Eucalyptus_articulata,Eucalyptus,Myrtaceae,,
Eucalyptus_aspratilis,Eucalyptus,Myrtaceae,,
Eucalyptus_assimilans,Eucalyptus,Myrtaceae,,
Eucalyptus_atrata,Eucalyptus,Myrtaceae,,
Eucalyptus_baeuerlenii,Eucalyptus,Myrtaceae,,
Eucalyptus_bakeri,Eucalyptus,Myrtaceae,,
Eucalyptus_barberi,Eucalyptus,Myrtaceae,,
Eucalyptus_baxteri,Eucalyptus,Myrtaceae,,
Eucalyptus_beaniana,Eucalyptus,Myrtaceae,,
Eucalyptus_behriana,Eucalyptus,Myrtaceae,,
Eucalyptus_blakelyi,Eucalyptus,Myrtaceae,,
Eucalyptus_blaxellii,Eucalyptus,Myrtaceae,,
Eucalyptus_brachycalyx,Eucalyptus,Myrtaceae,,
Eucalyptus_brassiana,Eucalyptus,Myrtaceae,,
Eucalyptus_brevifolia,Eucalyptus,Myrtaceae,,
Eucalyptus_brevipes,Eucalyptus,Myrtaceae,,
Eucalyptus_bridgesiana,Eucalyptus,Myrtaceae,,
Eucalyptus_brockwayi,Eucalyptus,Myrtaceae,,
Eucalyptus_buprestium,Eucalyptus,Myrtaceae,,
Eucalyptus_burgessiana,Eucalyptus,Myrtaceae,,
Eucalyptus_burracoppinensis,Eucalyptus,Myrtaceae,,
Eucalyptus_calcareana,Eucalyptus,Myrtaceae,,
Eucalyptus_camaldulensis,Eucalyptus,Myrtaceae,,
Eucalyptus_capillosa,Eucalyptus,Myrtaceae,,
Eucalyptus_capitellata,Eucalyptus,Myrtaceae,,
Eucalyptus_captiosa,Eucalyptus,Myrtaceae,,
Eucalyptus_carnei,Eucalyptus,Myrtaceae,,
Eucalyptus_cephalocarpa,Eucalyptus,Myrtaceae,,
Eucalyptus_cerasiformis,Eucalyptus,Myrtaceae,,
Eucalyptus_ceratocorys,Eucalyptus,Myrtaceae,,
Eucalyptus_cernua,Eucalyptus,Myrtaceae,,
Eucalyptus_clivicola,Eucalyptus,Myrtaceae,,
Eucalyptus_cneorifolia,Eucalyptus,Myrtaceae,,
Eucalyptus_comitae-vallis,Eucalyptus,Myrtaceae,,
Eucalyptus_communalis,Eucalyptus,Myrtaceae,,
Eucalyptus_concinna,Eucalyptus,Myrtaceae,,
Eucalyptus_conica,Eucalyptus,Myrtaceae,,
Eucalyptus_consideniana,Eucalyptus,Myrtaceae,,
Eucalyptus_conveniens,Eucalyptus,Myrtaceae,,
Eucalyptus_coolabah,Eucalyptus,Myrtaceae,,
Eucalyptus_cooperiana,Eucalyptus,Myrtaceae,,
Eucalyptus_cornuta,Eucalyptus,Myrtaceae,,
Eucalyptus_corrugata,Eucalyptus,Myrtaceae,,
Eucalyptus_cosmophylla,Eucalyptus,Myrtaceae,,
Eucalyptus_creta,Eucalyptus,Myrtaceae,,
Eucalyptus_cretata,Eucalyptus,Myrtaceae,,
Eucalyptus_curtisii,Eucalyptus,Myrtaceae,,
Eucalyptus_cyanophylla,Eucalyptus,Myrtaceae,,
Eucalyptus_cyclostoma,Eucalyptus,Myrtaceae,,
Eucalyptus_cylindriflora,Eucalyptus,Myrtaceae,,
Eucalyptus_cylindrocarpa,Eucalyptus,Myrtaceae,,
Eucalyptus_dawsonii,Eucalyptus,Myrtaceae,,
Eucalyptus_dealbata,Eucalyptus,Myrtaceae,,
Eucalyptus_deanei,Eucalyptus,Myrtaceae,,
Eucalyptus_deflexa,Eucalyptus,Myrtaceae,,
Eucalyptus_delicata,Eucalyptus,Myrtaceae,,
Eucalyptus_depauperata,Eucalyptus,Myrtaceae,,
Eucalyptus_desmondensis,Eucalyptus,Myrtaceae,,
Eucalyptus_dielsii,Eucalyptus,Myrtaceae,,
Eucalyptus_diminuta,Eucalyptus,Myrtaceae,,
Eucalyptus_diptera,Eucalyptus,Myrtaceae,,
Eucalyptus_discreta,Eucalyptus,Myrtaceae,,
Eucalyptus_diversicolor,Eucalyptus,Myrtaceae,,
Eucalyptus_diversifolia,Eucalyptus,Myrtaceae,,
Eucalyptus_dolichocera,Eucalyptus,Myrtaceae,,
Eucalyptus_dolichorhyncha,Eucalyptus,Myrtaceae,,
Eucalyptus_doratoxylon,Eucalyptus,Myrtaceae,,
Eucalyptus_dumosa,Eucalyptus,Myrtaceae,,
Eucalyptus_dundasii,Eucalyptus,Myrtaceae,,
Eucalyptus_dura,Eucalyptus,Myrtaceae,,
Eucalyptus_dwyeri,Eucalyptus,Myrtaceae,,
Eucalyptus_eremophila,Eucalyptus,Myrtaceae,,
Eucalyptus_erythrocorys,Eucalyptus,Myrtaceae,,
Eucalyptus_eugenioides,Eucalyptus,Myrtaceae,,
Eucalyptus_ewartiana,Eucalyptus,Myrtaceae,,
Eucalyptus_exigua,Eucalyptus,Myrtaceae,,
Eucalyptus_exilipes,Eucalyptus,Myrtaceae,,
Eucalyptus_exilis,Eucalyptus,Myrtaceae,,
Eucalyptus_falcata,Eucalyptus,Myrtaceae,,
Eucalyptus_fasciculosa,Eucalyptus,Myrtaceae,,
Eucalyptus_flindersii,Eucalyptus,Myrtaceae,,
Eucalyptus_foecunda,Eucalyptus,Myrtaceae,,
Eucalyptus_foliosa,Eucalyptus,Myrtaceae,,
Eucalyptus_formanii,Eucalyptus,Myrtaceae,,
Eucalyptus_forrestiana,Eucalyptus,Myrtaceae,,
Eucalyptus_fraxinoides,Eucalyptus,Myrtaceae,,
Eucalyptus_froggattii,Eucalyptus,Myrtaceae,,
Eucalyptus_fruticosa,Eucalyptus,Myrtaceae,,
Eucalyptus_fulgens,Eucalyptus,Myrtaceae,,
Eucalyptus_fusiformis,Eucalyptus,Myrtaceae,,
Eucalyptus_gamophylla,Eucalyptus,Myrtaceae,,
Eucalyptus_gillenii,Eucalyptus,Myrtaceae,,
Eucalyptus_gillii,Eucalyptus,Myrtaceae,,
Eucalyptus_globoidea,Eucalyptus,Myrtaceae,,
Eucalyptus_glomerosa,Eucalyptus,Myrtaceae,,
Eucalyptus_gomphocephala,Eucalyptus,Myrtaceae,,
Eucalyptus_gongylocarpa,Eucalyptus,Myrtaceae,,
Eucalyptus_goniocarpa,Eucalyptus,Myrtaceae,,
Eucalyptus_gracilis,Eucalyptus,Myrtaceae,,
Eucalyptus_grandis,Eucalyptus,Myrtaceae,,
Eucalyptus_granitica,Eucalyptus,Myrtaceae,,
Eucalyptus_grisea,Eucalyptus,Myrtaceae,,
Eucalyptus_grossa,Eucalyptus,Myrtaceae,,
Eucalyptus_guilfoylei,Eucalyptus,Myrtaceae,,
Eucalyptus_gypsophila,Eucalyptus,Myrtaceae,,
Eucalyptus_haemastoma,Eucalyptus,Myrtaceae,,
Eucalyptus_hallii,Eucalyptus,Myrtaceae,,
Eucalyptus_halophila,Eucalyptus,Myrtaceae,,
Eucalyptus_hebetifolia,Eucalyptus,Myrtaceae,,
Eucalyptus_histophylla,Eucalyptus,Myrtaceae,,
Eucalyptus_horistes,Eucalyptus,Myrtaceae,,
Eucalyptus_hypolaena,Eucalyptus,Myrtaceae,,
Eucalyptus_imlayensis,Eucalyptus,Myrtaceae,,
Eucalyptus_incerata,Eucalyptus,Myrtaceae,,
Eucalyptus_incrassata,Eucalyptus,Myrtaceae,,
Eucalyptus_indurata,Eucalyptus,Myrtaceae,,
Eucalyptus_infera,Eucalyptus,Myrtaceae,,
Eucalyptus_insularis,Eucalyptus,Myrtaceae,,
Eucalyptus_interstans,Eucalyptus,Myrtaceae,,
Eucalyptus_intertexta,Eucalyptus,Myrtaceae,,
Eucalyptus_jacksonii,Eucalyptus,Myrtaceae,,
Eucalyptus_jucunda,Eucalyptus,Myrtaceae,,
Eucalyptus_kitsoniana,Eucalyptus,Myrtaceae,,
Eucalyptus_kondininensis,Eucalyptus,Myrtaceae,,
Eucalyptus_kumarlensis,Eucalyptus,Myrtaceae,,
Eucalyptus_lacrimans,Eucalyptus,Myrtaceae,,
Eucalyptus_langleyi,Eucalyptus,Myrtaceae,,
Eucalyptus_lansdowneana,Eucalyptus,Myrtaceae,,
Eucalyptus_largiflorens,Eucalyptus,Myrtaceae,,
Eucalyptus_latens,Eucalyptus,Myrtaceae,,
Eucalyptus_lesouefii,Eucalyptus,Myrtaceae,,
Eucalyptus_limitaris,Eucalyptus,Myrtaceae,,
Eucalyptus_litorea,Eucalyptus,Myrtaceae,,
Eucalyptus_livida,Eucalyptus,Myrtaceae,,
Eucalyptus_lockyeri,Eucalyptus,Myrtaceae,,
Eucalyptus_longicornis,Eucalyptus,Myrtaceae,,
Eucalyptus_lucasii,Eucalyptus,Myrtaceae,,
Eucalyptus_lucens,Eucalyptus,Myrtaceae,,
Eucalyptus_macrandra,Eucalyptus,Myrtaceae,,
Eucalyptus_magnificata,Eucalyptus,Myrtaceae,,
Eucalyptus_megacarpa,Eucalyptus,Myrtaceae,,
Eucalyptus_megacornuta,Eucalyptus,Myrtaceae,,
Eucalyptus_melanophitra,Eucalyptus,Myrtaceae,,
Eucalyptus_melanoxylon,Eucalyptus,Myrtaceae,,
Eucalyptus_melliodora,Eucalyptus,Myrtaceae,,
Eucalyptus_merrickiae,Eucalyptus,Myrtaceae,,
Eucalyptus_michaeliana,Eucalyptus,Myrtaceae,,
Eucalyptus_micranthera,Eucalyptus,Myrtaceae,,
Eucalyptus_microcarpa,Eucalyptus,Myrtaceae,,
Eucalyptus_microcorys,Eucalyptus,Myrtaceae,,
Eucalyptus_miniata,Eucalyptus,Myrtaceae,,
Eucalyptus_minniritchi,Eucalyptus,Myrtaceae,,
Eucalyptus_misella,Eucalyptus,Myrtaceae,,
Eucalyptus_moderata,Eucalyptus,Myrtaceae,,
Eucalyptus_moluccana,Eucalyptus,Myrtaceae,,
Eucalyptus_morrisii,Eucalyptus,Myrtaceae,,
Eucalyptus_myriadena,Eucalyptus,Myrtaceae,,
Eucalyptus_neutra,Eucalyptus,Myrtaceae,,
Eucalyptus_nicholii,Eucalyptus,Myrtaceae,,
Eucalyptus_normantonensis,Eucalyptus,Myrtaceae,,
Eucalyptus_nortonii,Eucalyptus,Myrtaceae,,
Eucalyptus_obconica,Eucalyptus,Myrtaceae,,
Eucalyptus_obliqua,Eucalyptus,Myrtaceae,,
Eucalyptus_obtusiflora,Eucalyptus,Myrtaceae,,
Eucalyptus_occidentalis,Eucalyptus,Myrtaceae,,
Eucalyptus_oldfieldii,Eucalyptus,Myrtaceae,,
Eucalyptus_olivina,Eucalyptus,Myrtaceae,,
Eucalyptus_optima,Eucalyptus,Myrtaceae,,
Eucalyptus_oraria,Eucalyptus,Myrtaceae,,
Eucalyptus_orbifolia,Eucalyptus,Myrtaceae,,
Eucalyptus_orgadophila,Eucalyptus,Myrtaceae,,
Eucalyptus_ornata,Eucalyptus,Myrtaceae,,
Eucalyptus_ovularis,Eucalyptus,Myrtaceae,,
Eucalyptus_oxymitra,Eucalyptus,Myrtaceae,,
Eucalyptus_pachyloma,Eucalyptus,Myrtaceae,,
Eucalyptus_pachyphylla,Eucalyptus,Myrtaceae,,
Eucalyptus_paliformis,Eucalyptus,Myrtaceae,,
Eucalyptus_paludicola,Eucalyptus,Myrtaceae,,
